14157,alt_f4,285,915,9116370,11
196521,Spartenpobacke,285,376,3977828,24
204035,Engel+desTodes,117,1,2358,44
345448,Camshaft,285,816,8333191,13
405243,TexasJim,0,1,406,66
450011,Delta371,865,1,200,73
455448,Unit+01,121,54,551108,32
577438,Crowns,285,191,2085911,28
586977,thunderbluesky,350,162,1373938,31
835383,Mark1990,877,1,5179,39
858526,schuschei,0,1,338,68
959593,P.und+B.,0,1,2833,41
982237,Lieschen33,0,1,1738,47
998056,shiva+10,312,1,595,59
1057027,maxus23,850,26,216403,33
1097934,Florian+the+Lord,290,1672,20228989,4
2062749,St.+Rike,897,1,634,58
2807345,Cr00ked,284,399,4196154,23
3012678,Muskulus,877,1,6335,38
3287479,xaver39,865,1,1434,51
3317473,normi00,877,1,360,67
3467530,Awesome+Ego,284,204,2128318,27
7805538,Matzerot29,12,1,1512,49
7860348,Vollmond62,877,1,694,57
7873819,Gerhard1950,0,1,3925,40
8110441,ANeu,0,1,468,64
8205063,Q-Zine,290,882,10701149,8
8313863,Betonmischer,811,1,1957,46
8487021,graf+pit,614,1,231,71
8704584,Der+Eroberer+101,290,597,6250103,18
8880253,X-Tempo-X,849,1,1465,50
8969364,Brandon02,0,1,53,77
9057962,Skize,285,1160,15375628,6
9092674,charly+65,0,1,2249,45
9099199,revenger53,554,1,570,62
9279888,Q-Zeng,290,554,5774928,19
9283160,august09,877,1,2721,42
9297409,Tarrja,849,1,725,56
9297442,lassgutsein.,285,911,9197145,10
9452672,Restval,284,301,2888298,26
9482437,BananaKing,285,1778,18594276,5
9727559,%2A-KiLLerBuRaK-%2A,290,548,6563044,16
9855774,why+so+serious%3F%3F%3F,284,527,5357965,21
9891098,Mr-GT,121,1,13210,37
9944194,Mr.Simon,121,2343,28252361,2
10006855,TubenSalz,850,11,69618,35
10011662,Adler0123,669,1,443,65
10164835,dodo3011,285,537,6410666,17
1575887251,Philatio,284,715,8650846,12
1576122141,Swapmeet,0,1,308,70
1576279240,woppy,284,2651,28577929,1
1576328662,-sturmdrang75-,123,1,334,69
1576339491,TomHaeger,877,1,587,61
1576357885,Ankemachts,877,1,2374,43
1576454928,Lord+Frowin,0,0,0,81
1576476295,Grawp,811,1,1021,53
1576617930,ZYZZ,878,524,5021162,22
1576655476,Tiger187,285,516,5455749,20
1576752150,d0vahkiin,888,174,1734606,30
1576880392,stefan1809,0,0,0,83
1576913108,bake,878,668,7975842,14
1576937769,UltraBeam%2A,285,1794,21690976,3
1576939408,Der+Erzbischof+von+DS,285,174,1843047,29
1577029422,stbaumann1972,635,1,215,72
1577043063,zastrow,823,1,951,54
1577070902,Hablo+Escobar,0,1,21,80
1577102326,Shooter,284,949,11266403,7
1577138412,Sven+1974,28,1,154,74
1577166631,Kimahri,853,1,590,60
1577166761,Gohelli,877,1,1232,52
1577182941,Richtige+Jacksons,842,1,21,79
1577233653,Arktos.,285,381,3657949,25
1577248834,Belvedere-,51,1,506,63
1577258867,pazifix,823,12,98979,34
1577272530,Barber,28,1,1530,48
1577292586,next432,238,1,46,78
1577295978,Lilahammerhai,69,1,120,76
1577296175,Gro%C3%9Fmutter+Griselda,877,6,52336,36
1577300275,Lucky,28,1,933,55
1577312372,BlaueAffenbande,285,830,9233425,9
1577325981,Der+buffende+Boromir,310,0,0,82
1577331373,Ludwig,888,1,146,75
1577344225,manger+des+escargots,888,682,6776466,15
