35829,Jago,0,5,7529,332
60416,Skally,138,995,9448101,26
106569,Red_Ice_Dragon,0,5,4050,447
142764,Thor49,334,12,85957,156
160236,Son+Goku,0,4,3200,622
198161,abudi,0,3,22592,225
233136,steknadel,0,3,11985,290
255010,Lord+mordor,62,15,101036,145
262227,JackausdemSchatten,343,5,5590,354
278715,Alfred+Biolek,62,5,32645,200
296227,Bezius,123,2,19143,241
297878,X-Fire,0,5,4250,410
316099,miamia,0,2,5074,369
319909,Der+Held+schlecht+hin,84,196,1833398,65
320150,spike3,138,579,5665465,41
342608,der+slawe,0,4,5400,361
385305,Taeler,0,5,4010,482
396604,Alex%40,0,5,4152,419
401979,nicky+butt,184,1117,13201515,20
438853,microOdt,200,187,1401903,70
485965,MichaCologne1,0,5,4045,454
530635,kaki1968,0,5,4315,403
656427,Simon105,0,5,4000,497
657219,ellenmcbong,0,5,12210,291
735547,Angelika2702,30,5,14737,278
760874,Moritz+Rabe,0,5,4097,428
803238,pw42,0,5,21088,228
819560,dragon35,0,1,5827,351
858526,schuschei,0,10,37832,192
866632,Haaans,0,5,6109,348
878287,Helms+Clamm.,0,5,4000,498
882734,Mr.Lange,0,10,52718,175
979073,bob111,0,2,2711,637
995939,tuner3,0,1,800,683
998056,shiva+10,196,219,974369,80
1020788,Gromper,138,337,3200751,53
1044752,weisi3,0,5,4041,453
1045021,Marvin%40,0,2,1600,667
1128170,Whitestylz,0,5,4918,374
1202637,Motfahrer,126,582,5475517,42
1244625,SAP-Bl%C3%B6del,360,1,3903,606
1339966,%2Axyz,0,4,3211,619
1385878,Simeon97,0,5,4000,499
1459546,wedam,84,13,147699,136
1495962,%C3%BCkpp,0,5,4344,400
1535849,condor11,349,5,12645,287
1540564,oschii,0,5,4190,415
1628720,Traumhaft,210,1,2967,632
1630679,De%40dline,0,5,26020,216
1650546,gunnar11,154,2,17872,254
1707742,Erzengel-%2A-Raziel,0,4,3980,603
1725309,9PRF,113,47,493045,93
1731065,%2Aralle%2A,106,100,967634,81
1877684,kipper480,241,13,84565,159
1925988,der+Zerst%C3%B6rer%2A,84,68,634895,86
1928966,svandy,295,25,131851,137
1944959,MerkurHB,0,5,5724,352
2007573,marvinho270695,0,3,10537,298
2124277,V+Sky,253,840,8730934,27
2168430,Fr3akY+Br0th3rS,106,2705,30258735,2
2197123,Schuamo91,0,5,4060,442
2233580,The+Annimal,0,2,11498,262
2247494,Chris260296,343,18,167784,131
2255761,fatboy16,26,273,2647789,58
2335533,Machfeldgasse,0,0,0,698
2338098,statenhauer,242,3,31227,203
2359175,gisispock,62,5,14520,279
2512811,3isk4lt,38,1200,11783395,22
2539215,Miknik,173,11,86798,154
2552866,SemiAktiv,253,1834,19090932,8
2634628,izou,0,5,8861,318
2681014,Herr+Hinrichs,0,5,4268,406
2804321,Frida1408,194,666,5786774,39
2835098,Erstbestajunge,0,5,4000,500
2887937,King+Lothar+3,349,12,73970,164
2939394,aswo,341,2,19166,240
2971170,gloana%2A%2A%2A,0,5,8730,321
2995090,Wagegg,0,5,7265,335
3039070,MattCity,0,5,4000,501
3057466,slywor,110,1,2365,656
3088894,Kampfkeks720,295,3,11476,293
3131151,angelo1997,30,22,181235,127
3171872,CrAzZy27,216,2,19466,238
3178736,King+Ahtos97,0,5,4120,463
3228389,Monkey+D.+MeX,200,191,1294466,74
3276380,Jojoi75,0,3,17537,258
3280737,Cody-Maverick,0,5,7930,326
3287479,xaver39,123,5,26783,214
3325984,edchen08,0,4,4822,376
3385146,dasglug,26,34,322906,112
3440179,alexx1238,200,33,293678,115
3449925,Hexe+Lilly,345,25,83609,160
7618318,ChrisiMaster123,253,1846,18559710,10
7713833,o666o,0,5,4000,502
7733590,The+Coon,0,5,4112,426
7768080,Bedir1,0,5,4000,503
7817139,slim+jk,349,5,13881,282
7860348,Vollmond62,49,1,4822,377
7890448,ThePurge187,0,5,4000,504
7897137,Morgar,0,5,4000,505
7899036,max+aus+der+tube,0,3,2411,644
7936236,jonny1965,270,8,56032,171
7974279,felipeonl,0,2,1600,668
8009331,maxoma,26,2,18688,246
8048244,selmana14,60,4,32334,201
8065332,-Issey,106,1170,12996030,21
8110441,ANeu,341,1,2836,636
8151105,K%C3%B6nig+Martin+2,198,7,32466,202
8210434,Cartracer93,0,5,8436,323
8222103,Bacardimilic,0,5,8971,319
8247369,Golde+Roger,0,5,4000,506
8280090,hart112,343,5,18272,251
8280477,leonhardtd2,348,7,14913,274
8312709,m-maker,0,5,4000,507
8313863,Betonmischer,0,5,15497,272
8324097,Rocker+Max,194,532,4910321,45
8349024,Waldi11,299,14,100182,148
8371026,hgmatze,343,12,55780,172
8372020,-Schwertlilie-,49,5,5473,359
8422798,erkerros,106,2974,34362392,1
8523680,soldierjb,173,147,1451432,68
8557660,Wrayth,0,5,4000,508
8593822,Der+bvb+Boss,0,5,4283,405
8664702,Julonio,0,5,4008,489
8667818,halo429,0,5,4000,509
8717828,Donau69,0,5,4026,465
8718615,Ikward,0,5,4000,510
8747744,Badboy2011,341,1,2144,658
8748138,A.+S.,0,1,800,684
8772279,esug,21,24,241198,119
8788648,sunshinekid,0,1,853,680
8798753,maxizi,0,5,13096,285
8829351,ben13.12,62,2,5583,355
8893463,superchuvak,106,580,5847246,37
8911107,Sly+Marbo,0,5,4350,399
8929715,lykorz,0,5,5346,362
8934843,saebler,0,5,4000,511
8978916,-.-yannik-.-,0,5,4000,512
9008678,Mohia97,0,5,11385,295
9022378,aurora+polaris,26,5,52118,176
9030923,genci99,0,4,3260,617
9047515,TheSledgehammer,196,11,36586,195
9084872,Hobiz,0,5,4089,431
9085809,Spotted+Cow,0,5,4255,408
9092884,crubbysfan,0,5,4592,385
9112721,Gerix,0,5,4000,513
9124032,Espe1879,0,5,4000,514
9185917,Imperator-C,75,24,137912,139
9211380,Domwarrior,184,951,9864489,23
9225854,InsaneBastard,106,804,9694396,25
9256607,xxnightstarxx,0,5,4000,515
9274334,Ultrasmani,38,291,2896502,56
9290295,N00BD1sS,0,1,800,685
9306541,Uwe752,110,182,987592,79
9376872,Malroth,44,48,336772,109
9383411,keiler1700,343,5,22598,224
9418204,sHIzo+fxx-fe,0,4,19713,236
9443259,Ankh.Morpork,0,5,13620,284
9446231,xXWaSGeHtXx,26,2,18325,250
9452442,k%C3%B6nig+andrej+der+2,0,5,4398,397
9455754,mazda323ba,0,5,10745,297
9455847,Joe+Kocker,0,5,4000,516
9507710,Qeon,0,1,817,681
9514512,Ferraristi2012,0,5,4164,417
9552091,BigDog,0,5,4012,477
9598491,Mayrhofer32,0,5,9195,314
9607665,Herrkogel,348,26,123670,141
9646811,Sniperpro08,0,5,4178,416
9647075,mervin3876,106,1662,19369574,7
9673019,thoscho66,289,30,101438,147
9678817,FoE0001,207,60,492266,94
9683489,kevinkill,0,4,3210,620
9709999,Morgen007,107,22,165373,132
9712251,CrazyCore,253,499,4726309,46
9724650,magic-runner,0,5,6236,343
9749129,Lord+Sam98,0,5,4000,517
9760330,-BronKo%2A,0,5,4000,518
9768832,Orka07,348,7,25368,219
9792280,pst84,0,5,4640,382
9793241,Lord+Duck,106,1220,13230922,18
9859907,Ich+mag+Katzen,0,3,2400,645
9867460,Holid4y+H%2A%2A,0,5,4000,519
9908011,Harribelle,0,4,3200,623
9909664,bmg00,0,5,4255,409
9912166,Nightgamer,139,1,9702,308
9916738,Tr.General,0,5,4000,520
9933359,Jjames,0,5,14905,275
9940761,Intracy,0,3,2400,646
9946664,Lord+Damion,113,5,48182,180
9947088,SKRK,0,3,6397,341
9978876,danielmhh,0,5,4000,521
10006069,ewald96,333,9,81469,161
10007206,Pr3stig3,0,4,3448,609
10011662,Adler0123,306,2,7454,333
10027365,Lusche3000,0,2,20374,232
10031101,Todesk%C3%B6nig69,343,3,20290,234
10045837,K%C3%B6nig+Heerscher,0,1,875,678
10050294,Achselhaar1993,75,43,409602,103
10052162,Denybest,261,46,436400,98
10060560,CH4B0B4B0,0,5,4019,467
10106907,darkcube101,0,5,4017,468
10108470,neuna19,0,5,20779,230
10114831,i+know+it,38,1706,17445479,12
10123570,landliebe92,84,116,827190,84
10129366,marten215,207,77,432457,100
10129841,Excalibur1996,133,1,9883,305
10201243,Shadow190791,0,3,10207,301
10207368,ucecU,0,5,4000,522
10265162,masterklen,0,5,4100,455
10274984,Shunks,0,4,3200,624
10285519,%2A%2A%2AKevDon%2A%2A%2A,0,5,4032,461
10287436,Baerchen140173,253,638,5829987,38
848877698,Castx3,30,6,28409,209
1575932293,julia+powetr,0,5,4028,464
1576001080,tixedo,343,9,80994,163
1576047188,Hydl,0,5,4000,523
1576063064,couchkiller,355,4,4468,390
1576070819,Smard-king,106,1137,13500096,17
1576111434,Feuer+faust+Ace,198,2,16437,221
1576115917,Schwarzer7umor,341,31,180791,128
1576192469,ALPHA-KNECHT,83,1,10189,302
1576217353,Stiv96,21,25,254565,118
1576241868,allstar98,0,5,4286,404
1576246743,team+tunizz,0,0,0,699
1576260161,tEaCh+YoU+hOw+To+PlAy,38,2359,27951778,3
1576273504,FCB-Hanse,31,222,2288706,62
1576296687,daerox,0,5,4555,386
1576311709,shrdd,0,4,3212,469
1576322315,Ein+Basher,200,23,202034,124
1576379277,Lady+rinaN,0,1,4142,421
1576387724,xMisTeRx,21,8,72608,165
1576389448,maggisauce,0,5,4120,425
1576405509,Mr.Chippi,0,5,4000,524
1576413116,role1000,0,5,4000,525
1576415561,zlatan+red,0,5,6194,346
1576421275,Danielb93,0,5,4010,483
1576432538,%2APrinzenrolle%2A,0,5,4636,383
1576435090,sorlania,210,6,9621,309
1576454879,Axxum,343,6,33872,199
1576455759,chinking,0,5,4000,526
1576458344,Grantelbartooo,0,2,1600,669
1576503612,Sp0ngebozz,0,5,4000,527
1576524206,Selcuk11,0,5,4000,528
1576554795,Paddy212,21,11,104842,144
1576588283,Tweedle+Dee,0,5,4014,470
